display_name,family,variant,seed,experiment,target_column,feature_bundle,best_epoch,best_val_task_loss,test_r2,test_baseline_persistence_r2,test_baseline_panel_ols_r2,test_baseline_grouped_ardl_r2,test_baseline_best_simple_r2,test_r2_delta_vs_persistence,test_r2_delta_vs_panel_ols,test_r2_delta_vs_grouped_ardl,test_mae,test_mse
No Recon Regularization,ablation,no_recon_regularization,4,economics_ablation_no_recon_regularization_seed4,ctfp,effective_labor_aware,27,2.4760401248931885,0.06982916338752851,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8670040388424658,0.048823606109421616,0.15893612633559173,1.4751176602593576,3.7399685380980863
No Recon Regularization,ablation,no_recon_regularization,18,economics_ablation_no_recon_regularization_seed18,ctfp,effective_labor_aware,19,2.5291993618011475,0.06778224613214671,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8690509560978477,0.04677668885403982,0.15688920908020992,1.4783972900747275,3.746172629095612
CMDL,cmdl,,18,economics_cmdl_seed18,ctfp,effective_labor_aware,19,2.5278749465942383,0.06715144439171179,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8696817578382825,0.0461458871136049,0.15625840733977503,1.4783356406646735,3.748633835982285
No AC Encoder,ablation,no_ac_encoder,1,economics_ablation_no_ac_encoder_seed1,ctfp,effective_labor_aware,24,2.5842857360839844,0.06693929933002137,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8698939028999729,0.04593374205191447,0.1560462622780846,1.4688948863582978,3.7475256553678373
No AC Encoder,ablation,no_ac_encoder,9,economics_ablation_no_ac_encoder_seed9,ctfp,effective_labor_aware,24,2.6181929111480713,0.06525562257274092,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8715775796572534,0.04425006529463403,0.15436258552080415,1.4806070858840361,3.7568550801614142
Plain LSTM,plain_lstm,,4,economics_lstm_seed4,ctfp,effective_labor_aware,10,2.596456527709961,0.06045779968994697,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8763754025400474,0.039452242411840074,0.1495647626380102,1.4554638248450416,3.777029073390613
CMDL,cmdl,,14,economics_cmdl_seed14,ctfp,effective_labor_aware,15,2.530856132507324,0.05842972924853658,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8784034729814577,0.03742417197042969,0.14753669219659982,1.4637782145064193,3.7851147970677665
No AC Encoder,ablation,no_ac_encoder,5,economics_ablation_no_ac_encoder_seed5,ctfp,effective_labor_aware,23,2.413755416870117,0.05579171625265069,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8810414859773437,0.034786158974543804,0.14489867920071392,1.4741369633305856,3.799272283372666
No Recon Regularization,ablation,no_recon_regularization,14,economics_ablation_no_recon_regularization_seed14,ctfp,effective_labor_aware,24,2.523439407348633,0.05574280842003693,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8810903938099575,0.034737251141930034,0.14484977136810015,1.4721498104177624,3.7966933813325094
CMDL,cmdl,,11,economics_cmdl_seed11,ctfp,effective_labor_aware,12,2.317058801651001,0.05281516894422974,0.9368332022299943,0.02100555727810689,-0.08910696294806322,0.9368332022299943,-0.8840180332857646,0.03180961166612285,0.14192213189229297,1.4823259852810886,3.8143031100371236
