workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
143,PRID,2006.0,SE123 Östergötland,12356,528500-6408,5493004LMJN2Y0YI8Q95,Bank,Södra Hestra Sparbank,Storgatan 14,,314 31,Hyltebruk
144,PRID,2006.0,SE123 Östergötland,12214,536200-9457,549300PT0H99XJPCTI10,Bank,Sölvesborg-Mjällby Sparbank,Södergatan 17,,294 31,Sölvesborg
145,PRID,2006.0,SE123 Östergötland,67397,516406-1243,549300HNHYMVHMQPF491,Bank,Sörmlands Sparbank AB,Köpmangatan 11,,641 30,Katrineholm
146,PRID,2006.0,SE123 Östergötland,41526,556404-6661,213800GYNGWE36GM4D26,Finance company,Telia Finance Aktiebolag,Stjärntorget 1,,169 79,Solna
147,PRID,2006.0,SE123 Östergötland,41463,556158-1041,529900BGZZZTLLBR1X49,Bank,TF Bank AB,Lilla Brogatan 6,,503 30,Borås
148,PRID,2006.0,SE123 Östergötland,76883,559476-6379,89450069VIVHIYM0DY51,Finance company,TF Nordic AB,,Box 947,501 10,Borås
149,PRID,2006.0,SE123 Östergötland,12210,567200-4883,549300CTL1TESB2XKJ70,Bank,Tidaholms Sparbank,Gamla Torget 10,,522 31,Tidaholm
150,PRID,2006.0,SE123 Östergötland,11139,516401-0224,529900K9O6WX5AVAKS71,Bank,Tjustbygdens Sparbank Bankaktiebolag,Kvarngatan 20,,593 30,Västervik
151,PRID,2006.0,SE123 Östergötland,12225,553300-7943,549300NV27OX714KVY93,Bank,Tjörns Sparbank,Södra Hamnen 27,,471 32,Skärhamn
152,PRID,2006.0,SE123 Östergötland,11625,516401-0117,,Bank,"Toyota Kreditbank GmbH Tyskland, Sverige Filial",Madenvägen 7,,174 55,Sundbyberg
153,PRID,2006.0,SE123 Östergötland,41517,556032-5002,549300NXS3J7172NCZ80,Finance company,Toyota Material Handling Commercial Finance AB,Svarvargatan 8,,595 35,Mjölby
