workbook_row_index,observed_block_code,global_year,global_county,prid__swedish_monetary_financial_institutions_updated_10_january_2025,prid__unnamed_1464_level_1,prid__unnamed_1465_level_1,prid__unnamed_1466_level_1,prid__unnamed_1467_level_1,prid__unnamed_1468_level_1,prid__unnamed_1469_level_1,prid__unnamed_1470_level_1,prid__unnamed_1471_level_1
112,PRID,2006.0,SE123 Östergötland,11102,502032-9081,F3JS33DEI6XQ4ZBPTN86,Bank,Skandinaviska Enskilda Banken AB,Kungsträdgårdsgatan 8,,111 47,Stockholm
113,PRID,2006.0,SE123 Östergötland,12162,548000-7409,529900SWZKCN28WKO886,Bank,Skurups Sparbank,Stortorget 10,,274 34,Skurup
114,PRID,2006.0,SE123 Östergötland,12378,537000-9598,549300X65C2FHXTN0M26,Bank,Snapphanebygdens Sparbank,Norra Vägen 2,,282 62,Bjärnum
115,PRID,2006.0,SE123 Östergötland,11676,516406-1052,,Bank,Societe Generale SA Bankfilial Sverige,Nybrokajen 7,,111 48,Stockholm
116,PRID,2006.0,SE123 Östergötland,11151,556809-0855,549300ZK8QS4A5VMTJ24,Bank,Sparbanken Alingsås AB (publ),Bankgatan 8,,441 30,Alingsås
117,PRID,2006.0,SE123 Östergötland,51070,516406-1185,894500KPOSNCO4MHDE49,Bank,Sparbanken Bergslagen AB,Kungsgatan 13,,711 30,Lindesberg
118,PRID,2006.0,SE123 Östergötland,12348,537600-6234,549300CNQLPG6BY98977,Bank,Sparbanken Boken,Möllevägen 1,,312 53,Hishult
119,PRID,2006.0,SE123 Östergötland,11147,516406-0674,549300CBEX4GLGFXZA48,Bank,Sparbanken Eken AB,Storgatan 25,,362 56,Ryd
120,PRID,2006.0,SE123 Östergötland,12312,534000-5775,549300N0OIGCSKT9WT49,Bank,Sparbanken Gotland,Visbyvägen 35,,622 54,Romakloster
121,PRID,2006.0,SE123 Östergötland,11148,516406-0716,549300FXABFV3K1MNQ36,Bank,Sparbanken Göinge AB,Torget 9,,288 31,Vinslöv
122,PRID,2006.0,SE123 Östergötland,12153,517000-6505,549300ZQDK3ZZYUXZZ24,Bank,Sparbanken i Enköping,Västra Ringgatan 20,,745 31,Enköping
123,PRID,2006.0,SE123 Östergötland,12151,536200-9481,549300QGK7CUYDFQ5Y75,Bank,Sparbanken i Karlshamn,Drottninggatan 55,,374 36,Karlshamn
124,PRID,2006.0,SE123 Östergötland,11135,516401-0166,549300BHNH83BVDBP321,Bank,Sparbanken Lidköping AB (publ),Nya Stadens Torg 3,,531 31,Lidköping
125,PRID,2006.0,SE123 Östergötland,12138,598800-4817,52990094QZTRLTQT3C84,Bank,Sparbanken Nord,Storgatan 43,,941 32,Piteå
126,PRID,2006.0,SE123 Östergötland,11125,516401-9928,549300QIF0GHM75P0L49,Bank,Sparbanken Rekarne AB,Kungsgatan 5,,632 19,Eskilstuna
127,PRID,2006.0,SE123 Östergötland,11120,516401-9852,549300Q4JBHBZ2WEQR78,Bank,Sparbanken Sjuhärad AB (publ),Allégatan 55,,503 37,Borås
128,PRID,2006.0,SE123 Östergötland,11132,516401-0141,529900KHYX5Q5MNOPZ93,Bank,Sparbanken Skaraborg AB (publ),Klostergatan 11,,532 39,Skara
129,PRID,2006.0,SE123 Östergötland,11130,516401-0091,549300JXFHK9ZR8N7I05,Bank,Sparbanken Skåne AB (publ),Byggmästaregatan 4,,222 37,Lund
130,PRID,2006.0,SE123 Östergötland,12190,548000-7425,549300FRBP5L0O1HY885,Bank,Sparbanken Syd,Hamngatan 2,,271 43,Ystad
131,PRID,2006.0,SE123 Östergötland,12380,555900-2695,549300NODF1RL3TWHD65,Bank,Sparbanken Tanum,Affärsvägen 3,,457 30,Tanumshede
132,PRID,2006.0,SE123 Östergötland,12204,565500-6152,549300C65CKTJ5TMXP50,Bank,Sparbanken Tranemo,Storgatan 22,,514 33,Tranemo
133,PRID,2006.0,SE123 Östergötland,12176,578500-7120,549300DQTNDQD7SBI684,Bank,Sparbanken Västra Mälardalen,Stora Gatan 13,,731 31,Köping
134,PRID,2006.0,SE123 Östergötland,32019,556459-6715,549300UOX05QGUJJ5707,Housing credit institution,Stadshypotek AB,Kungsträdgårdsgatan 20,,111 47,Stockholm
135,PRID,2006.0,SE123 Östergötland,47001,516411-6161,,Bank,Standard Chartered Bank AG filial Sverige,Kungsgatan 33,,111 56,Stockholm
136,PRID,2006.0,SE123 Östergötland,48004,559026-5673,6488F8W91TC710DQP387,Other MFI,Steven AB,Sturegatan 4,,114 35,Stockholm
137,PRID,2006.0,SE123 Östergötland,41509,556158-7634,54930034HWW2QC4U7Z48,Bank,Svea Bank AB,Evenemangsgatan 31,,169 79,Solna
138,PRID,2006.0,SE123 Östergötland,11123,502007-7862,NHBDILHZTYCNBV5UYZ31,Bank,Svenska Handelsbanken AB,Kungsträdgårdsgatan 2,,111 47,Stockholm
139,PRID,2006.0,SE123 Östergötland,33007,262000-1046,549300HXN0LLCSQ32L03,Other MFI,Svenska Skeppshypotekskassan,Kungsportsavenyen 10,,411 36,Göteborg
140,PRID,2006.0,SE123 Östergötland,,202100-2684,549300VLYM2XZE4FJF95,Central bank,Sveriges riksbank,Brunkebergstorg 11,,111 51,Stockholm
141,PRID,2006.0,SE123 Östergötland,11200,502017-7753,M312WZV08Y7LYUC71685,Bank,Swedbank AB,Landsvägen 40,,172 63,Sundbyberg
142,PRID,2006.0,SE123 Östergötland,32009,556003-3283,549300TJREQ7GHIXWR36,Housing credit institution,Swedbank Hypotek AB,,,105 34,Stockholm
