column_index,flattened_name,first_level,second_level,observed_block_code,mapped_variable_code,is_global_key,is_year_like_subcolumn,period_year,period_label,codebook_match
726,rpcyd__unnamed_726_level_1,RPCYD,Unnamed: 726_level_1,RPCYD,RPCYD,False,False,,,True
727,rpcyd__2023_1,RPCYD,2023.1,RPCYD,RPCYD,False,True,2023.0,2023,True
728,rpcyd__unnamed_728_level_1,RPCYD,Unnamed: 728_level_1,RPCYD,RPCYD,False,False,,,True
729,rpcyd__unnamed_729_level_1,RPCYD,Unnamed: 729_level_1,RPCYD,RPCYD,False,False,,,True
730,rpcyd__unnamed_730_level_1,RPCYD,Unnamed: 730_level_1,RPCYD,RPCYD,False,False,,,True
731,rpcyd__unnamed_731_level_1,RPCYD,Unnamed: 731_level_1,RPCYD,RPCYD,False,False,,,True
732,rpcyd__2019_2,RPCYD,2019.2,RPCYD,RPCYD,False,True,2019.0,2019,True
733,rpcyd__2020_2,RPCYD,2020.2,RPCYD,RPCYD,False,True,2020.0,2020,True
734,rpcyd__2021_2,RPCYD,2021.2,RPCYD,RPCYD,False,True,2021.0,2021,True
735,rpcyd__2022_2,RPCYD,2022.2,RPCYD,RPCYD,False,True,2022.0,2022,True
736,rpcyd__2023_2,RPCYD,2023.2,RPCYD,RPCYD,False,True,2023.0,2023,True
737,rpcyd__unnamed_737_level_1,RPCYD,Unnamed: 737_level_1,RPCYD,RPCYD,False,False,,,True
738,rpcyd__unnamed_738_level_1,RPCYD,Unnamed: 738_level_1,RPCYD,RPCYD,False,False,,,True
739,rpcyd__unnamed_739_level_1,RPCYD,Unnamed: 739_level_1,RPCYD,RPCYD,False,False,,,True
740,rpcyd__unnamed_740_level_1,RPCYD,Unnamed: 740_level_1,RPCYD,RPCYD,False,False,,,True
741,rpcyd__2019_3,RPCYD,2019.3,RPCYD,RPCYD,False,True,2019.0,2019,True
742,rpcyd__2020_3,RPCYD,2020.3,RPCYD,RPCYD,False,True,2020.0,2020,True
743,rpcyd__2021_3,RPCYD,2021.3,RPCYD,RPCYD,False,True,2021.0,2021,True
744,rpcyd__2022_3,RPCYD,2022.3,RPCYD,RPCYD,False,True,2022.0,2022,True
745,rpcyd__2023_3,RPCYD,2023.3,RPCYD,RPCYD,False,True,2023.0,2023,True
746,rpcyd__unnamed_746_level_1,RPCYD,Unnamed: 746_level_1,RPCYD,RPCYD,False,False,,,True
747,rpcyd__unnamed_747_level_1,RPCYD,Unnamed: 747_level_1,RPCYD,RPCYD,False,False,,,True
748,rpcyd__unnamed_748_level_1,RPCYD,Unnamed: 748_level_1,RPCYD,RPCYD,False,False,,,True
749,rpcyd__unnamed_749_level_1,RPCYD,Unnamed: 749_level_1,RPCYD,RPCYD,False,False,,,True
750,rpcyd__2019_4,RPCYD,2019.4,RPCYD,RPCYD,False,True,2019.0,2019,True
751,rpcyd__2020_4,RPCYD,2020.4,RPCYD,RPCYD,False,True,2020.0,2020,True
752,rpcyd__2021_4,RPCYD,2021.4,RPCYD,RPCYD,False,True,2021.0,2021,True
753,rpcyd__2022_4,RPCYD,2022.4,RPCYD,RPCYD,False,True,2022.0,2022,True
